RED_IZO;pocet studentu;skolni rok;pocet pc;pocet notebooku;wifi;pocet uceben
600015301;773;2024/25;62;58;1;49
600052222;503;2024/25;13;114;1;29
600037266;765;2024/25;56;61;1;34
600064875;863;2024/25;81;125;1;48
600069893;30;2024/25;0;1;1;2
600100774;218;2024/25;14;25;1;13
600040101;124;2024/25;1;16;1;5
600067653;109;2024/25;10;56;1;17
600067602;599;2024/25;33;182;1;36
600021947;75;2024/25;21;20;1;9
600067556;37;2024/25;0;59;1;3
600022072;39;2024/25;14;23;1;6
600090124;96;2024/25;4;1;1;4
600100804;547;2024/25;21;102;1;29
600040291;110;2024/25;0;0;1;4
662000081;20;2024/25;0;0;1;1
600120325;69;2024/25;4;31;1;4
600054934;65;2024/25;13;24;1;10
650032543;94;2024/25;1;5;1;8
600131599;21;2024/25;1;3;1;3
600046028;34;2024/25;0;11;1;2
600046095;139;2024/25;1;8;1;6
600046141;508;2024/25;4;76;1;23
600046117;17;2024/25;0;0;1;1
600046231;80;2024/25;18;27;1;9
600017753;433;2024/25;98;65;1;37
600110940;110;2024/25;10;14;1;6
600046397;247;2024/25;28;25;1;21
600046419;21;2024/25;0;0;0;1
600049035;125;2024/25;4;14;1;8
600106349;335;2024/25;50;68;1;29
650067754;56;2024/25;1;25;1;11
600106357;32;2024/25;6;20;1;3
600110133;289;2024/25;0;15;1;15
691012482;19;2024/25;0;0;1;1
691000450;35;2024/25;0;8;1;11
600067491;385;2024/25;41;220;1;41
650029577;188;2024/25;25;13;1;17
600110559;230;2024/25;32;30;1;13
600077527;265;2024/25;24;65;1;18
600067530;204;2024/25;19;86;1;21
600067521;40;2024/25;7;29;1;4
600077560;446;2024/25;88;90;1;27
600052141;706;2024/25;40;101;1;44
600000991;49;2024/25;0;0;1;2
600146600;164;2024/25;12;40;1;7
600170748;598;2024/25;175;10;1;36
650041551;141;2024/25;36;30;1;12
600019756;470;2024/25;33;38;1;18
600171477;44;2024/25;11;45;1;10
600111172;504;2024/25;44;65;1;24
600016366;136;2024/25;0;10;1;10
600119386;32;2024/25;0;2;1;3
600090701;136;2024/25;16;56;1;12
600114325;51;2024/25;5;27;1;3
600050050;39;2024/25;0;1;1;2
600072576;42;2024/25;0;0;1;2
600050785;50;2024/25;6;47;1;4
600078264;268;2024/25;46;84;1;25
691011257;68;2024/25;18;30;1;4
600114261;564;2024/25;132;110;1;33
600022650;110;2024/25;5;15;1;12
600059979;55;2024/25;0;0;1;3
600138658;430;2024/25;29;93;1;26
600056767;40;2024/25;0;0;1;2
600016579;322;2024/25;140;60;1;28
600045960;39;2024/25;1;10;1;2
600143180;68;2024/25;14;13;1;7
600046044;90;2024/25;0;12;1;5
650057511;78;2024/25;0;27;1;5
600022307;49;2024/25;16;29;1;19
600127591;98;2024/25;20;89;1;11
600077454;355;2024/25;43;125;1;33
600101959;706;2024/25;0;153;1;51
600021904;57;2024/25;2;27;1;12
600057259;167;2024/25;0;0;1;8
600022048;58;2024/25;10;43;1;8
600114457;525;2024/25;55;62;1;27
600047563;66;2024/25;0;48;1;4
600052036;387;2024/25;42;32;1;33
600054594;811;2024/25;63;126;1;59
600056457;46;2024/25;0;0;1;2
600055892;283;2024/25;16;80;1;18
600170110;414;2024/25;62;47;1;28
600112152;129;2024/25;12;20;1;7
600036006;195;2024/25;0;14;1;8
600066401;158;2024/25;28;46;1;13
600139484;75;2024/25;0;8;1;3
600022188;183;2024/25;16;89;1;27
600022587;30;2024/25;12;13;1;6
600026795;77;2024/25;12;67;1;19
600038343;205;2024/25;0;56;1;10
600170098;406;2024/25;50;24;1;21
600171248;799;2024/25;110;72;1;60
600038599;232;2024/25;9;4;1;10
600048969;57;2024/25;0;10;1;4
600054471;225;2024/25;34;66;1;18
600129144;120;2024/25;10;10;1;5
650035658;119;2024/25;0;56;1;10
600039081;644;2024/25;39;64;1;30
600146715;65;2024/25;7;4;1;6
600129616;48;2024/25;0;3;1;3
600097633;372;2024/25;28;52;1;18
691001341;382;2024/25;18;78;1;27
600011241;211;2024/25;9;14;1;55
600059430;37;2024/25;6;2;1;4
600133591;593;2024/25;54;139;1;34
600104681;146;2024/25;16;16;1;10
600136540;238;2024/25;55;80;1;24
691011133;62;2024/25;0;22;1;6
600134423;509;2024/25;57;82;1;42
600064841;544;2024/25;78;51;1;39
600028089;15;2024/25;13;12;1;4
600044386;235;2024/25;20;50;1;19
600120261;125;2024/25;17;22;1;8
600022242;151;2024/25;2;40;1;24
672000105;44;2024/25;0;0;1;2
600067467;360;2024/25;0;100;1;27
600119734;26;2024/25;0;1;1;2
600020797;239;2024/25;12;74;1;32
650020511;287;2024/25;31;35;1;19
600059081;201;2024/25;21;31;1;16
600119769;60;2024/25;0;11;1;3
600130754;16;2024/25;0;0;0;1
600142752;213;2024/25;0;80;1;14
600123901;72;2024/25;1;3;1;3
600017672;713;2024/25;318;36;1;56
600119882;33;2024/25;0;0;1;4
650052447;574;2024/25;66;20;1;33
600061141;176;2024/25;8;8;1;8
691010650;87;2024/25;0;51;1;10
600001288;136;2024/25;18;36;1;12
691000867;551;2024/25;15;88;1;36
600044319;719;2024/25;30;263;1;35
600077322;167;2024/25;16;38;1;12
600100341;30;2024/25;0;5;1;4
650052960;193;2024/25;16;58;1;13
600119912;307;2024/25;0;14;1;14
600041549;22;2024/25;0;12;1;1
600119939;17;2024/25;0;10;1;1
600015891;344;2024/25;62;25;1;29
600119548;32;2024/25;0;0;1;2
600039200;492;2024/25;29;90;1;30
691011389;45;2024/25;7;18;1;4
600119556;19;2024/25;0;2;1;2
600054501;320;2024/25;63;70;1;21
600021769;49;2024/25;12;22;1;9
600020070;1287;2024/25;59;114;1;58
618500910;79;2024/25;18;6;1;4
600054381;215;2024/25;40;44;1;16
600098974;54;2024/25;5;6;1;3
600021548;35;2024/25;14;15;1;4
600016412;277;2024/25;53;30;1;12
600053709;24;2024/25;0;15;1;1
600054055;67;2024/25;0;3;1;3
600021670;112;2024/25;15;82;1;16
600067459;237;2024/25;24;125;1;18
600081770;513;2024/25;53;94;1;35
600021696;52;2024/25;10;21;1;8
600044122;134;2024/25;22;11;1;8
600023249;149;2024/25;27;81;1;23
691004455;520;2024/25;24;50;1;34
600039129;639;2024/25;44;47;1;38
600067432;537;2024/25;39;89;1;31
600096408;131;2024/25;24;37;1;8
600137066;31;2024/25;0;1;1;2
600096360;86;2024/25;2;50;1;6
691009309;15;2024/25;0;0;1;2
600049043;135;2024/25;18;9;1;7
600110613;143;2024/25;12;23;1;9
650050941;53;2024/25;9;25;1;6
691007578;17;2024/25;0;0;1;3
610451251;390;2024/25;25;58;1;33
650004639;157;2024/25;50;160;1;26
650043332;220;2024/25;16;36;1;16
600170161;534;2024/25;53;143;1;26
600113965;370;2024/25;48;81;1;25
600064590;449;2024/25;0;120;1;35
600041051;177;2024/25;0;0;1;8
600171230;530;2024/25;50;96;1;33
600115721;74;2024/25;9;18;1;6
600054802;355;2024/25;35;20;1;21
600146707;185;2024/25;12;48;1;16
600040844;250;2024/25;0;20;1;11
600125947;581;2024/25;77;61;1;46
600054691;89;2024/25;0;14;1;6
600116085;262;2024/25;51;39;1;18
600096343;114;2024/25;14;13;1;7
600062945;289;2024/25;49;11;1;25
600039196;762;2024/25;75;80;1;52
600010295;403;2024/25;26;30;1;21
600124550;60;2024/25;5;7;1;6
691016933;73;2024/25;0;0;1;1
600041298;577;2024/25;30;18;1;31
600039218;586;2024/25;81;82;1;35
600170080;1032;2024/25;220;80;1;52
600112551;156;2024/25;19;26;1;12
600115712;117;2024/25;0;49;1;8
600104605;35;2024/25;9;5;1;3
600145875;32;2024/25;0;2;1;2
600096572;76;2024/25;10;22;1;5
600058794;51;2024/25;2;0;1;2
600073840;254;2024/25;30;55;1;11
668000139;38;2024/25;1;2;1;2
600112128;79;2024/25;10;31;1;6
600077616;230;2024/25;48;113;1;39
600049027;101;2024/25;17;20;1;8
600050262;25;2024/25;0;1;1;1
600050700;255;2024/25;36;63;1;16
600127842;38;2024/25;7;49;1;4
600050572;20;2024/25;0;0;1;1
650038959;153;2024/25;0;35;1;9
600096505;102;2024/25;8;39;1;8
600077501;130;2024/25;16;8;1;11
650053095;47;2024/25;5;7;1;3
600050726;76;2024/25;12;28;1;5
600119360;21;2024/25;0;0;1;1
600038441;593;2024/25;42;93;1;34
650035992;137;2024/25;31;11;1;9
600010759;1049;2024/25;150;30;1;87
600059227;357;2024/25;33;27;1;24
600120236;53;2024/25;8;16;1;6
600021491;225;2024/25;15;106;1;23
668000783;114;2024/25;0;5;1;5
600066398;161;2024/25;21;64;1;21
600119203;37;2024/25;0;1;1;2
650060288;99;2024/25;0;38;1;6
600035484;102;2024/25;0;0;1;5
600129918;23;2024/25;0;0;1;1
600021572;68;2024/25;4;53;1;11
600130321;275;2024/25;71;59;1;35
600024270;211;2024/25;20;21;1;25
600011500;475;2024/25;65;47;1;35
600038629;225;2024/25;0;15;1;13
600124011;197;2024/25;26;63;1;17
691003424;46;2024/25;0;0;1;3
600039064;693;2024/25;30;184;1;32
600100880;151;2024/25;31;48;1;11
600023664;234;2024/25;34;90;1;29
691012164;173;2024/25;0;42;1;9
600008754;314;2024/25;42;32;1;15
600138003;65;2024/25;10;45;1;6
600047555;92;2024/25;8;22;1;8
600047687;212;2024/25;3;112;1;15
691006601;144;2024/25;0;36;1;10
600011267;392;2024/25;65;33;1;25
600007481;199;2024/25;14;4;1;10
691010056;16;2024/25;0;0;1;1
691005567;76;2024/25;3;20;1;5
691005729;22;2024/25;0;0;1;1
691014442;59;2024/25;0;13;1;6
600072037;404;2024/25;82;48;1;26
691013128;71;2024/25;0;3;1;3
691012342;258;2024/25;0;90;1;8
600015785;1025;2024/25;200;70;1;63
600007669;234;2024/25;60;77;1;10
600147444;48;2024/25;0;2;1;2
600144062;24;2024/25;1;0;0;1
600099253;39;2024/25;15;14;1;5
600130541;49;2024/25;12;30;1;4
600010309;314;2024/25;76;38;1;34
600045293;52;2024/25;6;20;1;4
600050815;59;2024/25;8;48;1;6
600031357;22;2024/25;10;9;1;7
600031381;16;2024/25;14;14;1;9
600031471;24;2024/25;7;0;1;7
600129756;37;2024/25;0;3;1;2
600045358;649;2024/25;39;61;1;33
600031829;25;2024/25;9;2;1;4
600031861;29;2024/25;15;6;1;6
600045382;665;2024/25;65;113;1;29
600045421;505;2024/25;24;92;1;25
600130118;380;2024/25;22;25;1;22
600031896;32;2024/25;10;20;1;8
600032001;14;2024/25;8;2;1;2
600045455;340;2024/25;45;70;1;19
600045471;206;2024/25;33;33;1;13
600045579;73;2024/25;10;13;1;5
600050670;97;2024/25;11;37;1;5
650051700;33;2024/25;20;10;1;9
650065115;2;2024/25;6;3;1;3
600045510;241;2024/25;48;10;1;13
691005192;341;2024/25;20;99;1;20
691003271;43;2024/25;0;0;1;3
600146499;261;2024/25;20;10;1;15
600006654;394;2024/25;108;90;1;26
650023404;58;2024/25;10;30;1;5
600060985;20;2024/25;1;0;1;1
600105938;19;2024/25;0;7;1;2
650014081;155;2024/25;33;31;1;23
600040453;763;2024/25;45;95;1;38
600049337;57;2024/25;1;30;1;3
663000289;146;2024/25;1;20;1;7
600029441;28;2024/25;8;60;1;10
600060608;328;2024/25;55;78;1;20
600029654;58;2024/25;27;12;1;15
650041330;155;2024/25;12;63;1;13
600060373;474;2024/25;70;97;1;34
600092364;314;2024/25;10;105;1;23
600029891;16;2024/25;0;10;1;3
600146651;276;2024/25;24;138;1;27
600065511;113;2024/25;21;52;1;11
600060616;456;2024/25;62;112;1;26
600044891;79;2024/25;0;28;1;3
600044912;107;2024/25;2;9;1;5
600044998;28;2024/25;0;0;1;2
600030695;46;2024/25;8;3;0;9
600045340;618;2024/25;36;195;1;35
600045650;437;2024/25;31;156;1;22
600120538;338;2024/25;39;85;1;23
600063062;181;2024/25;18;17;1;14
600047768;119;2024/25;0;63;1;7
600097595;580;2024/25;80;92;1;37
691012725;12;2024/25;0;0;1;1
600017338;405;2024/25;219;46;1;25
600096475;45;2024/25;0;20;1;2
600096491;38;2024/25;17;16;1;3
600012018;228;2024/25;49;23;1;15
600011712;1108;2024/25;110;115;1;43
600012093;212;2024/25;35;45;1;10
600019772;1011;2024/25;62;82;1;43
600020495;60;2024/25;6;1;1;11
691018316;97;2024/25;0;4;1;7
691012440;416;2024/25;43;60;1;26
600016587;119;2024/25;32;31;1;8
600019829;824;2024/25;166;50;1;51
600028747;25;2024/25;8;2;1;5
600049329;129;2024/25;0;12;1;9
600129501;659;2024/25;9;51;1;29
600040216;114;2024/25;0;0;1;5
600028895;29;2024/25;14;12;1;7
691009031;128;2024/25;0;35;1;10
600063160;40;2024/25;20;3;1;5
600070352;82;2024/25;40;0;1;6
691011966;100;2024/25;3;23;1;11
600000265;86;2024/25;0;0;0;5
600028542;17;2024/25;11;3;1;6
691006962;91;2024/25;5;8;1;5
691011052;20;2024/25;0;0;1;1
600047105;38;2024/25;1;0;1;2
600023982;67;2024/25;12;40;1;13
691014736;39;2024/25;0;0;1;2
691017379;308;2024/25;0;30;1;15
600131998;59;2024/25;8;20;1;6
600066193;58;2024/25;0;3;1;3
600021661;339;2024/25;74;37;1;17
600049264;575;2024/25;35;89;1;25
600130762;101;2024/25;0;32;1;6
600055906;43;2024/25;8;13;1;4
600035158;96;2024/25;2;1;1;4
691008175;19;2024/25;0;0;0;4
691015422;22;2024/25;0;0;0;1
691006997;44;2024/25;0;1;1;2
650059140;397;2024/25;30;80;1;35
662100361;41;2024/25;0;0;1;3
650054571;237;2024/25;24;33;1;20
691016879;16;2024/25;0;0;1;1
691007772;54;2024/25;0;4;1;2
600021912;97;2024/25;8;74;1;15
600039757;466;2024/25;28;70;1;30
600028151;16;2024/25;8;0;0;3
600110605;115;2024/25;16;22;1;7
600017257;708;2024/25;203;30;1;43
691005664;24;2024/25;0;4;0;1
600005844;941;2024/25;116;30;1;30
691000905;54;2024/25;0;16;1;5
600006603;700;2024/25;57;58;1;38
600022994;122;2024/25;20;81;1;20
650056191;202;2024/25;53;76;1;16
600028224;32;2024/25;15;1;1;8
691002096;94;2024/25;0;4;1;5
600028429;76;2024/25;20;0;1;12
650031768;53;2024/25;10;8;1;4
600120333;181;2024/25;24;76;1;20
600111326;557;2024/25;30;56;1;32
691002541;62;2024/25;0;0;1;5
600047750;81;2024/25;13;44;1;5
691005826;178;2024/25;18;37;1;18
691007039;148;2024/25;0;44;1;18
691006202;54;2024/25;0;3;1;3
691015937;180;2024/25;0;20;1;14
600074684;27;2024/25;10;8;1;2
600125581;63;2024/25;13;14;1;6
600039803;1000;2024/25;0;125;1;66
600074803;53;2024/25;7;5;1;4
600074854;66;2024/25;0;22;1;6
600110486;490;2024/25;83;77;1;30
691003351;75;2024/25;0;0;1;3
600056929;19;2024/25;0;0;1;1
600074943;489;2024/25;80;67;1;38
600075001;27;2024/25;0;11;1;3
600004546;463;2024/25;39;3;1;28
600075141;49;2024/25;16;38;1;6
600023940;104;2024/25;15;60;1;14
600046427;557;2024/25;32;99;1;35
600110885;42;2024/25;0;10;1;3
600110800;104;2024/25;0;40;1;6
600111318;276;2024/25;22;42;1;17
691016101;13;2024/25;2;6;1;4
600057101;218;2024/25;0;5;1;9
600037401;545;2024/25;52;135;1;36
600077331;422;2024/25;60;200;1;50
600066487;23;2024/25;6;4;1;1
600039633;69;2024/25;2;2;1;3
600112161;67;2024/25;16;33;1;5
691000042;47;2024/25;0;0;1;2
691014647;61;2024/25;0;0;0;3
600037258;157;2024/25;14;48;1;8
600059847;63;2024/25;0;3;1;3
600027210;294;2024/25;62;21;1;47
600077357;528;2024/25;60;160;1;29
600082849;190;2024/25;39;75;1;22
600037347;585;2024/25;54;38;1;34
600039285;193;2024/25;0;0;1;9
600001717;205;2024/25;6;80;1;20
600113591;44;2024/25;2;0;1;5
600148149;16;2024/25;0;2;1;1
600005984;100;2024/25;4;17;1;7
691014116;86;2024/25;0;12;1;13
600111041;373;2024/25;25;95;1;16
600074021;159;2024/25;0;0;1;7
691001146;645;2024/25;60;20;1;29
600074056;284;2024/25;1;11;1;14
600012557;459;2024/25;41;26;1;27
600097552;304;2024/25;24;43;1;18
600074668;100;2024/25;1;28;1;7
600074609;68;2024/25;25;50;1;10
600074617;680;2024/25;60;105;1;55
600039463;72;2024/25;0;0;1;3
600146936;58;2024/25;0;20;1;4
600057551;767;2024/25;57;82;1;44
600112381;379;2024/25;25;80;1;21
600067599;645;2024/25;53;244;1;41
600036103;84;2024/25;0;4;1;5
